from_stop_id,to_stop_id,transfer_type,min_transfer_time
AMI:SP:IMEN2,AMI:SP:IMEN1,2,94
AMI:SP:FGHEMN1,AMI:SP:ABATTN2,2,389
AMI:SP:MACUL8,AMI:SP:HVDUMEN,2,366
AMI:SP:PLANG2,AMI:SP:LMICH2,2,393
AMI:SP:DCORD1,AMI:SP:MRIVE2,2,432
AMI:SP:LOCKEN2,AMI:SP:RROUEN1,2,114
AMI:SP:CRIVE1,AMI:SP:RICOR1,2,370
AMI:SP:ROGERAN,AMI:SP:GMOCQN2,2,364
AMI:SP:MSAIN1,AMI:SP:POMME2,2,413
AMI:SP:GRECEN1,AMI:SP:GRECEN2,2,70
AMI:SP:GAREG,AMI:SP:OTAGEN1,2,395
AMI:SP:TIVOL2,AMI:SP:REMBA2,2,338
AMI:SP:CHARAN3,AMI:SP:CHARAN2,2,223
AMI:SP:FONTAN1,AMI:SP:BARREN1,2,414
AMI:SP:PNORDN2,AMI:SP:SANTEN1,2,357
AMI:SP:CHARAN1,AMI:SP:CHARAN4,2,220
AMI:SP:DORGE1,AMI:SP:CRIVE2,2,313
AMI:SP:CXROM2,AMI:SP:CJMLA1,2,263
AMI:SP:MBARB1,AMI:SP:MBARB2,2,66
AMI:SP:GLISY2,AMI:SP:AIGUI1,2,291
AMI:SP:CCNORN7,AMI:SP:CCNOR5,2,395
AMI:SP:PINSO2,AMI:SP:GENDA2,2,290
AMI:SP:DEJEA1,AMI:SP:AUSSYN1,2,424
AMI:SP:GAREG,AMI:SP:GARENB,2,263
AMI:SP:FOSAL2,AMI:SP:PAGES2,2,172
AMI:SP:CALMN1,AMI:SP:RAINE2,2,227
AMI:SP:EGSLEU,AMI:SP:BRETES1,2,409
AMI:SP:CIMONN6,AMI:SP:WAIDEN,2,373
AMI:SP:MACULN5,AMI:SP:MACUL8,2,152
AMI:SP:MARIV2,AMI:SP:BEAUM2,2,427
AMI:SP:ARTOI2,AMI:SP:GRACE1,2,422
AMI:SP:WABCO1,AMI:SP:WABCOE,2,156
AMI:SP:HPLSUN5,AMI:SP:HPLSUN4,2,155
AMI:SP:LANGUN1,AMI:SP:CETOUN1,2,441
AMI:SP:CAMPUN1,AMI:SP:CAMPUN4,2,163
AMI:SP:WATTE1,AMI:SP:PAIXN2,2,434
AMI:SP:TINTO1,AMI:SP:TINTO2,2,96
AMI:SP:CEGLIS,AMI:SP:RLEFEB,2,305
AMI:SP:AQUAPN4,AMI:SP:CHAGR1,2,437
AMI:SP:SEUX1,AMI:SP:SEUX2,2,77
AMI:SP:CTELL1,AMI:SP:CAGNA2,2,431
AMI:SP:AMPARN2,AMI:SP:AMPARN1,2,97
AMI:SP:BERLIN2,AMI:SP:PNORDN2,2,306
AMI:SP:FLEGE2,AMI:SP:PICAS2,2,370
AMI:SP:14JUI2,AMI:SP:PELUA1,2,201
AMI:SP:GRACE2,AMI:SP:FONTAN2,2,295
AMI:SP:GLECL1,AMI:SP:CORBI2,2,358
AMI:SP:MLONGN1,AMI:SP:MLONGN2,2,126
AMI:SP:VOYEL2,AMI:SP:VOYEL1,2,166
AMI:SP:VERG1,AMI:SP:RUNIV2,2,368
AMI:SP:VHUGO1,AMI:SP:DREUI2,2,430
AMI:SP:GEPHI2,AMI:SP:MLONGN2,2,441
AMI:SP:JOFFR2,AMI:SP:CSALL1,2,431
AMI:SP:ELBEU1,AMI:SP:EGJEA2,2,402
AMI:SP:ROYAU1,AMI:SP:GBEAUN2,2,239
AMI:SP:CALMN2,AMI:SP:RAINE1,2,266
AMI:SP:DESMO2,AMI:SP:CMARTN2,2,407
AMI:SP:MACULN5,AMI:SP:MACULN7,2,211
AMI:SP:ORMAIN1,AMI:SP:ORMAIN2,2,118
AMI:SP:QUACHN1,AMI:SP:LIBERN2,2,434
AMI:SP:SQLAC6,AMI:SP:EGCIM1,2,407
AMI:SP:FGHEMN1,AMI:SP:FGHEMN2,2,85
AMI:SP:JOFFR2,AMI:SP:RGOBLN1,2,440
AMI:SP:ECMAU2,AMI:SP:VIGNA2,2,219
AMI:SP:RDOUA1,AMI:SP:DUCLO1,2,393
AMI:SP:MACUL8,AMI:SP:MACUL6,2,131
AMI:SP:COLBEN1,AMI:SP:LUFOUN1,2,307
AMI:SP:GARENA,AMI:SP:GAREG,2,266
AMI:SP:AUSSYN2,AMI:SP:AUSSYN1,2,151
AMI:SP:VENT1,AMI:SP:CTCAS1,2,367
AMI:SP:LUFOUN2,AMI:SP:TIVOL1,2,399
AMI:SP:RALLO1,AMI:SP:RONSA1,2,404
AMI:SP:ABEPE1,AMI:SP:ABEPE2,2,76
AMI:SP:PNORDN1,AMI:SP:PNORDN2,2,70
AMI:SP:BALZAN2,AMI:SP:BALZAN1,2,85
AMI:SP:CHARDN1,AMI:SP:PNORDN1,2,345
AMI:SP:AGEOR2,AMI:SP:PJEAN2,2,370
AMI:SP:STQUE3,AMI:SP:EXUPE2,2,302
AMI:SP:RDOUA2,AMI:SP:DOULL1,2,338
AMI:SP:TITIE2,AMI:SP:TINTO2,2,289
AMI:SP:POMPI3,AMI:SP:MERCEN1,2,269
AMI:SP:CMARTN2,AMI:SP:LAURE1,2,348
AMI:SP:LMICH1,AMI:SP:PLIBE1,2,274
AMI:SP:BEFFRON,AMI:SP:MACULN6,2,438
AMI:SP:CJEAN1,AMI:SP:GENDA1,2,362
AMI:SP:LATAPN1,AMI:SP:PCAGNN3,2,410
AMI:SP:ELBEU2,AMI:SP:LOCKEN1,2,212
AMI:SP:RONSA2,AMI:SP:RALLO1,2,395
AMI:SP:PNORDN3,AMI:SP:PNORDN1,2,145
AMI:SP:DOULL1,AMI:SP:DOULL2,2,87
AMI:SP:RORE1,AMI:SP:CREMATOR,2,437
AMI:SP:DELPEN2,AMI:SP:DESMO1,2,235
AMI:SP:RICOR1,AMI:SP:CRIVE1,2,370
AMI:SP:DONJON,AMI:SP:IDEFLE,2,377
AMI:SP:FORCE2,AMI:SP:RTANK2,2,344
AMI:SP:MACULN7,AMI:SP:HVDUMEN,2,322
AMI:SP:POMPI2,AMI:SP:MERCEN1,2,250
AMI:SP:ILOT1,AMI:SP:ILOT2,2,121
AMI:SP:LIBERN5,AMI:SP:STRAS2,2,324
AMI:SP:BEAQU2,AMI:SP:DEBUS2,2,352
AMI:SP:TIVOL1,AMI:SP:COLBEN2,2,298
AMI:SP:BRANLN2,AMI:SP:BRANLN4,2,163
AMI:SP:PCAGN1,AMI:SP:PCAGN2,2,175
AMI:SP:PCAGN1,AMI:SP:PCAGNN1,2,159
AMI:SP:GARENB,AMI:SP:GARENA,2,108
AMI:SP:STADE1,AMI:SP:GLISY2,2,216
AMI:SP:DBOUV2,AMI:SP:PBERN2,2,348
AMI:SP:BALZAN1,AMI:SP:RONSA1,2,419
AMI:SP:PAVREN1,AMI:SP:CTCHA2,2,336
AMI:SP:HPSDEN4,AMI:SP:RTHILN1,2,387
AMI:SP:VHUGO2,AMI:SP:DREUI1,2,326
AMI:SP:AMBONN1,AMI:SP:AMBONN2,2,88
AMI:SP:DORGE1,AMI:SP:FJOUR1,2,366
AMI:SP:GARER1,AMI:SP:GAREE,2,337
AMI:SP:MSALE2,AMI:SP:NAUGA1,2,408
AMI:SP:ADAPEI,AMI:SP:WABCO1,2,190
AMI:SP:GAREG,AMI:SP:GARENA,2,266
AMI:SP:CAMBRN2,AMI:SP:STANON2,2,394
AMI:SP:CAGNA2,AMI:SP:CTELL2,2,424
AMI:SP:RAMPO1,AMI:SP:RAMPO2,2,111
AMI:SP:GROCHN2,AMI:SP:GROCHN1,2,75
AMI:SP:GRACE1,AMI:SP:FONTAN2,2,350
AMI:SP:LIBERN1,AMI:SP:LIBERN3,2,159
AMI:SP:SQLAC1,AMI:SP:CONDO4,2,341
AMI:SP:ROYAU1,AMI:SP:GBEAUN1,2,275
AMI:SP:FRANC2,AMI:SP:EGREN2,2,366
AMI:SP:RSTAD2,AMI:SP:CTPET1,2,395
AMI:SP:LADREN1,AMI:SP:TITIE2,2,393
AMI:SP:POIDEN2,AMI:SP:MLONGN2,2,363
AMI:SP:WABCOE,AMI:SP:WABCO1,2,156
AMI:SP:CONDO4,AMI:SP:SQLAC3,2,318
AMI:SP:DUCHE1,AMI:SP:DUCHE2,2,110
AMI:SP:QUENE1,AMI:SP:QUENE2,2,94
AMI:SP:ROPE1,AMI:SP:THDEL2,2,412
AMI:SP:DORGE2,AMI:SP:DORGE1,2,95
AMI:SP:PCAGNN1,AMI:SP:PCAGN2,2,116
AMI:SP:GROCHN4,AMI:SP:GROCHN1,2,209
AMI:SP:CORBI2,AMI:SP:BDORG1,2,319
AMI:SP:RROUEN2,AMI:SP:GENDA1,2,425
AMI:SP:STENDN2,AMI:SP:DUCLO2,2,264
AMI:SP:LUZARN1,AMI:SP:LUZARN2,2,148
AMI:SP:DUCLO2,AMI:SP:VOLTA2,2,286
AMI:SP:MARRE1,AMI:SP:PFORT1,2,398
AMI:SP:MACULN7,AMI:SP:MACULN6,2,181
AMI:SP:BERLIN1,AMI:SP:PNORDN4,2,376
AMI:SP:AFRAN1,AMI:SP:MSALO1,2,367
AMI:SP:ADAPEI,AMI:SP:PROCT1,2,345
AMI:SP:UPJVN1,AMI:SP:UPJVN2,2,106
AMI:SP:BLSNC2,AMI:SP:BLSNC1,2,177
AMI:SP:BRETES1,AMI:SP:PVOGEN6,2,236
AMI:SP:JCATEL1,AMI:SP:NAUGA2,2,320
AMI:SP:CHARAN2,AMI:SP:CHARAN4,2,206
AMI:SP:SOBON2,AMI:SP:POMPI3,2,342
AMI:SP:FOUIL2,AMI:SP:JANVI2,2,350
AMI:SP:PICAS1,AMI:SP:FLEGE2,2,397
AMI:SP:FOUIL2,AMI:SP:CSALL2,2,366
AMI:SP:ACACI2,AMI:SP:ILOT1,2,439
AMI:SP:POLYCN1,AMI:SP:POLYCN2,2,126
AMI:SP:POIDEN2,AMI:SP:ROSERN1,2,376
AMI:SP:FUSCI1,AMI:SP:PMANY1,2,400
AMI:SP:CONDO3,AMI:SP:CTCAS1,2,418
AMI:SP:DELPEN1,AMI:SP:CHARAN3,2,376
AMI:SP:CHLBAR,AMI:SP:GAMBI1,2,389
AMI:SP:FENEL1,AMI:SP:MARIV2,2,321
AMI:SP:QUENE1,AMI:SP:DUROU1,2,349
AMI:SP:STJACN1,AMI:SP:MACULN5,2,369
AMI:SP:CONDO3,AMI:SP:CONDO4,2,97
AMI:SP:HVDUSEN,AMI:SP:PJUSTIN,2,352
