route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282165-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282166-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282167-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282168-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282169-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282170-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282171-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282172-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282173-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282174-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282175-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282176-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282177-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282178-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_9,0,0
AMI:L-1,AMI:26E07-ETESAM-Samedi-000,AMI:7282179-26E07-ETESAM-Samedi-000,Aller,,0,,AMI:shp_3_46,0,0
