stop_id,stop_code,stop_name,stop_desc,stop_lon,stop_lat,zone_id,stop_url,location_type,parent_station,stop_timezone,level_id,wheelchair_boarding,platform_code
AMI:SP:MTCALN2,,Collège Guy Mareschal,,2.326266,49.869598,,,0,AMI:SA:place_MTCA,,,0,
AMI:SP:MTMIG1,,Montmignon,,2.346157,49.859335,,,0,AMI:SA:place_MTMI,,,0,
AMI:SP:MTMIG2,,Montmignon,,2.345005,49.859955,,,0,AMI:SA:place_MTMI,,,0,
AMI:SP:MUSEE1,,Musée,,2.295923,49.890385,,,0,AMI:SA:place_MUSE,,,0,
AMI:SP:NEUVI1,,La Neuville,,2.33228,49.88637,,,0,AMI:SA:place_NEUV,,,0,
AMI:SP:NEUVI2,,La Neuville,,2.332044,49.886208,,,0,AMI:SA:place_NEUV,,,0,
AMI:SP:OTAGEN1,,Otages,,2.302471,49.888439,,,0,AMI:SA:place_OTAG,,,0,
AMI:SP:OTAGEN2,,Otages,,2.302082,49.888744,,,0,AMI:SA:place_OTAG,,,0,
AMI:SP:OZENF1,,Ozenfant,,2.26853,49.933423,,,0,AMI:SA:place_OZEN,,,0,
AMI:SP:OZENF2,,Ozenfant,,2.268906,49.933136,,,0,AMI:SA:place_OZEN,,,0,
AMI:SP:PACORN,,Paul Cornet,,2.219815,49.899673,,,0,AMI:SA:place_CORN,,,0,
AMI:SP:PAIXN1,,La Paix,,2.297422,49.911611,,,0,AMI:SA:place_PAIX,,,0,
AMI:SP:PAIXN2,,La Paix,,2.297311,49.911682,,,0,AMI:SA:place_PAIX,,,0,
AMI:SP:PAMON3,,Place du Don,,2.305093,49.895587,,,0,AMI:SA:place_PAMO,,,0,
AMI:SP:PAMON4,,Place du Don,,2.30469,49.895739,,,0,AMI:SA:place_PAMO,,,0,
AMI:SP:PAVREN1,,Pont de l'Avre,,2.345035,49.876332,,,0,AMI:SA:place_PAVR,,,0,
AMI:SP:PAVREN2,,Pont de l'Avre,,2.344576,49.87653,,,0,AMI:SA:place_PAVR,,,0,
AMI:SP:PBARO1,,Paul Baroux,,2.416996,49.880652,,,0,AMI:SA:place_PBAR,,,0,
AMI:SP:PBARO2,,Paul Baroux,,2.416968,49.880706,,,0,AMI:SA:place_PBAR,,,0,
AMI:SP:PBEAUN1,,Hortillonnages,,2.311291,49.897563,,,0,AMI:SA:place_HORT,,,0,
AMI:SP:PBEAUN2,,Hortillonnages,,2.310763,49.89645,,,0,AMI:SA:place_HORT,,,0,
AMI:SP:PBERN1,,Parc de Berny,,2.284386,49.880639,,,0,AMI:SA:place_PARC,,,0,
AMI:SP:PBERN2,,Parc de Berny,,2.284621,49.881205,,,0,AMI:SA:place_PARC,,,0,
AMI:SP:PCAGN1,,Place de Cagny,,2.340796,49.862469,,,0,AMI:SA:place_PCAG,,,0,
AMI:SP:PCAGNN1,,Place de Cagny,,2.341741,49.862119,,,0,AMI:SA:place_PCAG,,,0,
AMI:SP:PCPIE3,,Parc St-Pierre,,2.311651,49.899449,,,0,AMI:SA:place_PCPI,,,0,
AMI:SP:PCPIEN1,,Parc St-Pierre,,2.31261,49.899413,,,0,AMI:SA:place_PCPI,,,0,
AMI:SP:PCPIEN2,,Parc St-Pierre,,2.312638,49.898839,,,0,AMI:SA:place_PCPI,,,0,
AMI:SP:PELUA1,,Paul Eluard,,2.28278,49.875467,,,0,AMI:SA:place_PELUA,,,0,
AMI:SP:PELUA2,,Paul Eluard,,2.282738,49.875368,,,0,AMI:SA:place_PELUA,,,0,
AMI:SP:PERIM1,,Abladène,,2.320178,49.881377,,,0,AMI:SA:place_PERI,,,0,
AMI:SP:PERIM2,,Abladène,,2.319775,49.88161,,,0,AMI:SA:place_PERI,,,0,
AMI:SP:PFORT1,,Petit Fort,,2.32655,49.907837,,,0,AMI:SA:place_PFOR,,,0,
AMI:SP:PFORT2,,Petit Fort,,2.326758,49.908223,,,0,AMI:SA:place_PFOR,,,0,
AMI:SP:PHOTE1,,Pôle Hôtelier,,2.372216,49.864691,,,0,AMI:SA:place_PHOT,,,0,
AMI:SP:PHOTE2,,Pôle Hôtelier,,2.371772,49.864952,,,0,AMI:SA:place_PHOT,,,0,
AMI:SP:PICAS1,,Picasso,,2.298225,49.916755,,,0,AMI:SA:place_PICA,,,0,
AMI:SP:PICAS2,,Picasso,,2.29885,49.91689,,,0,AMI:SA:place_PICA,,,0,
AMI:SP:PINCEN1,,Pinceau,,2.315896,49.887122,,,0,AMI:SA:place_PINC,,,0,
AMI:SP:PINCEN2,,Pinceau,,2.316243,49.886871,,,0,AMI:SA:place_PINC,,,0,
AMI:SP:PINSO1,,Pinsonnat,,2.273801,49.889424,,,0,AMI:SA:place_PINS,,,0,
