object_id,object_system,object_code
AMI:SP:EXUPE2,amiens_rt,298
AMI:SP:EXUPE2,source,EXUPE2
AMI:SP:FALAI1,amiens_rt,300
AMI:SP:FALAI1,source,FALAI1
AMI:SP:FALAI2,amiens_rt,301
AMI:SP:FALAI2,source,FALAI2
AMI:SP:FORCE1,amiens_rt,318
AMI:SP:FORCE1,source,FORCE1
AMI:SP:FORCE2,amiens_rt,319
AMI:SP:FORCE2,source,FORCE2
AMI:SP:FRANC1,amiens_rt,326
AMI:SP:FRANC1,source,FRANC1
AMI:SP:FRANC2,amiens_rt,327
AMI:SP:FRANC2,source,FRANC2
AMI:SP:FRIANN1,amiens_rt,1122
AMI:SP:FRIANN1,source,FRIANN1
AMI:SP:GAMBI1,amiens_rt,1043
AMI:SP:GAMBI2,amiens_rt,1044
AMI:SP:GARENA,amiens_rt,1045
AMI:SP:GARENA,source,GARENA
AMI:SP:GARENB,amiens_rt,1046
AMI:SP:GARENB,source,GARENB
AMI:SP:GBEAUN1,amiens_rt,1048
AMI:SP:GBEAUN1,source,GBEAUN1
AMI:SP:GBEAUN2,amiens_rt,1049
AMI:SP:GBEAUN2,source,GBEAUN2
AMI:SP:GFOY1,amiens_rt,347
AMI:SP:GFOY1,source,GFOY1
AMI:SP:GFOY2,amiens_rt,348
AMI:SP:GFOY2,source,GFOY2
AMI:SP:GLECL1,amiens_rt,349
AMI:SP:GLECL1,source,GLECL1
AMI:SP:GLECL2,amiens_rt,350
AMI:SP:GLECL2,source,GLECL2
AMI:SP:GMOCQN1,amiens_rt,354
AMI:SP:GMOCQN1,source,GMOCQN1
AMI:SP:GMOCQN2,amiens_rt,355
AMI:SP:GMOCQN2,source,GMOCQN2
AMI:SP:GOLF1,amiens_rt,356
AMI:SP:GOLF2,amiens_rt,357
AMI:SP:GORLIN1,amiens_rt,358
AMI:SP:GORLIN1,source,GORLIN1
AMI:SP:GRACE1,amiens_rt,361
AMI:SP:GRACE1,source,GRACE1
AMI:SP:GRACE2,amiens_rt,362
AMI:SP:GRACE2,source,GRACE2
AMI:SP:GRENO2,amiens_rt,366
AMI:SP:GRENO2,source,GRENO2
AMI:SP:HBARB1,amiens_rt,374
AMI:SP:HBARB2,amiens_rt,375
AMI:SP:HGREM1,amiens_rt,376
AMI:SP:HGREM1,source,HGREM1
AMI:SP:HGREM2,amiens_rt,377
AMI:SP:HGREM2,source,HGREM2
AMI:SP:HIMPON1,amiens_rt,378
AMI:SP:HIMPON1,source,HIMPON1
AMI:SP:HIMPON2,amiens_rt,379
AMI:SP:HIMPON2,source,HIMPON2
AMI:SP:HONOR1,amiens_rt,382
AMI:SP:HONOR1,source,HONOR1
AMI:SP:HONOR2,amiens_rt,383
AMI:SP:HONOR2,source,HONOR2
AMI:SP:HPLSU1,amiens_rt,955
AMI:SP:HPLSU1,source,HPLSU1
AMI:SP:HPLSU7,amiens_rt,954
AMI:SP:HPLSU7,source,HPLSU7
AMI:SP:HPSDEN3,amiens_rt,147
AMI:SP:HPSDEN3,source,HPSDEN3
AMI:SP:IDEFLE,amiens_rt,389
AMI:SP:IDEFLE,source,IDEFLE
AMI:SP:ILOT1,amiens_rt,390
AMI:SP:ILOT1,source,ILOT1
AMI:SP:ILOT2,amiens_rt,391
AMI:SP:ILOT2,source,ILOT2
AMI:SP:JCATEL1,source,JCATEL1
AMI:SP:JMOUL1,amiens_rt,399
AMI:SP:JMOUL1,source,JMOUL1
AMI:SP:JMOUL2,amiens_rt,400
AMI:SP:JMOUL2,source,JMOUL2
AMI:SP:LESCO1,amiens_rt,423
AMI:SP:LESCO2,amiens_rt,424
AMI:SP:LHOTO1,amiens_rt,425
AMI:SP:LHOTO1,source,LHOTO1
AMI:SP:LHOTO2,amiens_rt,426
AMI:SP:LHOTO2,source,LHOTO2
AMI:SP:LIBERN2,amiens_rt,1065
AMI:SP:LIBERN2,source,LIBERN2
AMI:SP:LMICH1,amiens_rt,429
