object_type,object_id,object_system,object_code
stop_area,AMI:SA:place_DEJE,source,place_DEJE
stop_area,AMI:SA:place_DOULL,source,place_DOULL
stop_area,AMI:SA:place_DREU,source,place_DREU
stop_area,AMI:SA:place_DUCH,source,place_DUCH
stop_area,AMI:SA:place_DUCLO,source,place_DUCLO
stop_area,AMI:SA:place_DURO,source,place_DURO
stop_area,AMI:SA:place_DURY,source,place_DURY
stop_area,AMI:SA:place_EBEA,source,place_EBEA
stop_area,AMI:SA:place_EBRA,source,place_EBRA
stop_area,AMI:SA:place_EGPI,source,place_EGPI
stop_area,AMI:SA:place_EGRE,source,place_EGRE
stop_area,AMI:SA:place_EGSJ,source,place_EGSJ
stop_area,AMI:SA:place_EGSM,source,place_EGSM
stop_area,AMI:SA:place_ELSA,source,place_ELSA
stop_area,AMI:SA:place_EPIN,source,place_EPIN
stop_area,AMI:SA:place_EROS,source,place_EROS
stop_area,AMI:SA:place_ESFI,source,place_ESFI
stop_area,AMI:SA:place_FAHE,source,place_FAHE
stop_area,AMI:SA:place_FAID,source,place_FAID
stop_area,AMI:SA:place_FLEG,source,place_FLEG
stop_area,AMI:SA:place_FMIS,source,place_FMIS
stop_area,AMI:SA:place_FOSS,source,place_FOSS
stop_area,AMI:SA:place_FOUR,source,place_FOUR
stop_area,AMI:SA:place_FRANC,source,place_FRANC
stop_area,AMI:SA:place_FRE,source,place_FRE
stop_area,AMI:SA:place_GARE,source,place_GARE
stop_area,AMI:SA:place_GBEA,source,place_GBEA
stop_area,AMI:SA:place_GLEC,source,place_GLEC
stop_area,AMI:SA:place_GOOD,source,place_GOOD
stop_area,AMI:SA:place_GREC,source,place_GREC
stop_area,AMI:SA:place_HAME,source,place_HAME
stop_area,AMI:SA:place_HIPP,source,place_HIPP
stop_area,AMI:SA:place_HNOR,source,place_HNOR
stop_area,AMI:SA:place_IMES,source,place_IMES
stop_area,AMI:SA:place_IUTS,source,place_IUTS
stop_area,AMI:SA:place_JANV,source,place_JANV
stop_area,AMI:SA:place_JAUR,source,place_JAUR
stop_area,AMI:SA:place_JMOU,source,place_JMOU
stop_area,AMI:SA:place_JOFF,source,place_JOFF
stop_area,AMI:SA:place_JVIL,source,place_JVIL
stop_area,AMI:SA:place_KINT,source,place_KINT
stop_area,AMI:SA:place_LADR,source,place_LADR
stop_area,AMI:SA:place_LATA,source,place_LATA
stop_area,AMI:SA:place_LATO,source,place_LATO
stop_area,AMI:SA:place_LBLA,source,place_LBLA
stop_area,AMI:SA:place_LEOL,source,place_LEOL
stop_area,AMI:SA:place_LHOT,source,place_LHOT
stop_area,AMI:SA:place_LMIC,source,place_LMIC
stop_area,AMI:SA:place_LOGA,source,place_LOGA
stop_area,AMI:SA:place_LONG,source,place_LONG
stop_area,AMI:SA:place_LUBA,source,place_LUBA
stop_area,AMI:SA:place_LUFO,source,place_LUFO
stop_area,AMI:SA:place_MANG,source,place_MANG
stop_area,AMI:SA:place_MAPA,source,place_MAPA
stop_area,AMI:SA:place_MARE,source,place_MARE
stop_area,AMI:SA:place_MATI,source,place_MATI
stop_area,AMI:SA:place_MBAR,source,place_MBAR
stop_area,AMI:SA:place_MBOV,source,place_MBOV
stop_area,AMI:SA:place_MEGA,source,place_MEGA
stop_area,AMI:SA:place_MGARD,source,place_MGARD
stop_area,AMI:SA:place_MGF1,source,place_MGF1
stop_area,AMI:SA:place_MLON,source,place_MLON
stop_area,AMI:SA:place_MONS,source,place_MONS
stop_area,AMI:SA:place_MPET,source,place_MPET
stop_area,AMI:SA:place_MSAV,source,place_MSAV
stop_area,AMI:SA:place_MTCA,source,place_MTCA
stop_area,AMI:SA:place_MTMI,source,place_MTMI
stop_area,AMI:SA:place_MUSE,source,place_MUSE
stop_area,AMI:SA:place_NEUV,source,place_NEUV
stop_area,AMI:SA:place_OZEN,source,place_OZEN
stop_area,AMI:SA:place_PACL,source,place_PACL
stop_area,AMI:SA:place_PAIX,source,place_PAIX
stop_area,AMI:SA:place_PARC,source,place_PARC
stop_area,AMI:SA:place_PCAG,source,place_PCAG
stop_area,AMI:SA:place_PELUA,source,place_PELUA
stop_area,AMI:SA:place_PERI,source,place_PERI
stop_area,AMI:SA:place_PICA,source,place_PICA
stop_area,AMI:SA:place_PJEA,source,place_PJEA
stop_area,AMI:SA:place_PJVE,source,place_PJVE
stop_area,AMI:SA:place_PLAN,source,place_PLAN
stop_area,AMI:SA:place_PLIB,source,place_PLIB
stop_area,AMI:SA:place_PNO,source,place_PNO
stop_area,AMI:SA:place_POID,source,place_POID
stop_area,AMI:SA:place_POLY,source,place_POLY
stop_area,AMI:SA:place_POMP,source,place_POMP
stop_area,AMI:SA:place_PROC,source,place_PROC
stop_area,AMI:SA:place_PVIC,source,place_PVIC
stop_area,AMI:SA:place_QCHE,source,place_QCHE
stop_area,AMI:SA:place_QLEM,source,place_QLEM
stop_area,AMI:SA:place_QTOU,source,place_QTOU
stop_area,AMI:SA:place_QUNE,source,place_QUNE
stop_area,AMI:SA:place_RAMI,source,place_RAMI
stop_area,AMI:SA:place_RDOU,source,place_RDOU
stop_area,AMI:SA:place_REMB,source,place_REMB
stop_area,AMI:SA:place_RGOU,source,place_RGOU
stop_area,AMI:SA:place_ROGE,source,place_ROGE
stop_area,AMI:SA:place_RORO,source,place_RORO
stop_area,AMI:SA:place_ROSE,source,place_ROSE
stop_area,AMI:SA:place_ROTO,source,place_ROTO
stop_area,AMI:SA:place_ROYAU,source,place_ROYAU
stop_area,AMI:SA:place_RPME,source,place_RPME
stop_area,AMI:SA:place_RSTA,source,place_RSTA
stop_area,AMI:SA:place_RTAN,source,place_RTAN
stop_area,AMI:SA:place_RTHI,source,place_RTHI
stop_area,AMI:SA:place_RUNI,source,place_RUNI
stop_area,AMI:SA:place_RVER,source,place_RVER
stop_area,AMI:SA:place_SAGE,source,place_SAGE
stop_area,AMI:SA:place_SANT,source,place_SANT
stop_area,AMI:SA:place_SAVE,source,place_SAVE
stop_area,AMI:SA:place_SQLA,source,place_SQLA
stop_area,AMI:SA:place_SQMA,source,place_SQMA
stop_area,AMI:SA:place_STEN,source,place_STEN
stop_area,AMI:SA:place_STEX,source,place_STEX
stop_area,AMI:SA:place_STJ,source,place_STJ
stop_area,AMI:SA:place_SULL,source,place_SULL
stop_area,AMI:SA:place_TERA,source,place_TERA
stop_area,AMI:SA:place_TERR,source,place_TERR
stop_area,AMI:SA:place_TINT,source,place_TINT
stop_area,AMI:SA:place_TITI,source,place_TITI
stop_area,AMI:SA:place_TIVO,source,place_TIVO
stop_area,AMI:SA:place_VAEY,source,place_VAEY
stop_area,AMI:SA:place_VALE,source,place_VALE
stop_area,AMI:SA:place_VAUB,source,place_VAUB
stop_area,AMI:SA:place_VENT,source,place_VENT
stop_area,AMI:SA:place_VERG,source,place_VERG
stop_area,AMI:SA:place_VHUG,source,place_VHUG
stop_area,AMI:SA:place_VIGN,source,place_VIGN
stop_area,AMI:SA:place_VMAG,source,place_VMAG
stop_area,AMI:SA:place_VOG,source,place_VOG
stop_area,AMI:SA:place_VOLT,source,place_VOLT
stop_area,AMI:SA:place_VOYE,source,place_VOYE
stop_area,AMI:SA:place_WABC,source,place_WABC
stop_area,AMI:SA:place_WALF,source,place_WALF
stop_area,AMI:SA:place_WASS,source,place_WASS
stop_area,AMI:SA:place_WATT,source,place_WATT
stop_area,AMI:SA:place_ZIND,source,place_ZIND
stop_point,AMI:SP:ABEPE1,amiens_rt,9
stop_point,AMI:SP:ABEPE1,source,ABEPE1
stop_point,AMI:SP:ABEPE2,amiens_rt,10
stop_point,AMI:SP:ABEPE2,source,ABEPE2
stop_point,AMI:SP:ACACI1,amiens_rt,13
stop_point,AMI:SP:ACACI2,amiens_rt,14
stop_point,AMI:SP:ACOLA1,amiens_rt,17
stop_point,AMI:SP:ACOLA1,source,ACOLA1
stop_point,AMI:SP:ACOLA2,amiens_rt,18
stop_point,AMI:SP:ACOLA2,source,ACOLA2
stop_point,AMI:SP:AFRAN1,amiens_rt,23
stop_point,AMI:SP:AFRAN1,source,AFRAN1
stop_point,AMI:SP:AFRAN2,amiens_rt,24
stop_point,AMI:SP:AFRAN2,source,AFRAN2
stop_point,AMI:SP:AIGUI1,amiens_rt,936
stop_point,AMI:SP:AIGUI1,source,AIGUI1
stop_point,AMI:SP:ALBOU1,amiens_rt,27
stop_point,AMI:SP:ALBOU1,source,ALBOU1
stop_point,AMI:SP:ALBOU2,amiens_rt,28
stop_point,AMI:SP:ALBOU2,source,ALBOU2
stop_point,AMI:SP:ALENCO,amiens_rt,29
stop_point,AMI:SP:ALENCO,source,ALENCO
stop_point,AMI:SP:ALLONV,amiens_rt,32
stop_point,AMI:SP:ALLONV,source,ALLONV
stop_point,AMI:SP:ALMOU1,amiens_rt,33
stop_point,AMI:SP:ALMOU1,source,ALMOU1
stop_point,AMI:SP:ALMOU2,amiens_rt,34
stop_point,AMI:SP:ALMOU2,source,ALMOU2
stop_point,AMI:SP:ALORRN1,amiens_rt,15
stop_point,AMI:SP:ALORRN1,source,ALORRN1
stop_point,AMI:SP:ALORRN2,amiens_rt,16
stop_point,AMI:SP:ALORRN2,source,ALORRN2
stop_point,AMI:SP:AMALR1,amiens_rt,35
stop_point,AMI:SP:AMALR1,source,AMALR1
stop_point,AMI:SP:AMALR2,amiens_rt,36
stop_point,AMI:SP:AMALR2,source,AMALR2
stop_point,AMI:SP:AMBONN1,amiens_rt,1200
stop_point,AMI:SP:AMBONN1,source,AMBONN1
stop_point,AMI:SP:AMBONN2,amiens_rt,980
stop_point,AMI:SP:AMBONN2,source,AMBONN2
stop_point,AMI:SP:ARTOI1,amiens_rt,39
stop_point,AMI:SP:ARTOI1,source,ARTOI1
stop_point,AMI:SP:ARTOI2,amiens_rt,40
stop_point,AMI:SP:ARTOI2,source,ARTOI2
stop_point,AMI:SP:BASSELL,source,BASSELL
stop_point,AMI:SP:BAUDR1,amiens_rt,51
stop_point,AMI:SP:BAUDR1,source,BAUDR1
stop_point,AMI:SP:BAUDR2,amiens_rt,52
stop_point,AMI:SP:BAUDR2,source,BAUDR2
stop_point,AMI:SP:BEAQU1,amiens_rt,56
stop_point,AMI:SP:BEAQU1,source,BEAQU1
stop_point,AMI:SP:BEAQU2,amiens_rt,57
stop_point,AMI:SP:BEAQU2,source,BEAQU2
stop_point,AMI:SP:BEAUM1,amiens_rt,58
stop_point,AMI:SP:BEAUM1,source,BEAUM1
stop_point,AMI:SP:BEAUM2,amiens_rt,59
stop_point,AMI:SP:BEAUM2,source,BEAUM2
stop_point,AMI:SP:BEFFRON,amiens_rt,988
stop_point,AMI:SP:BEFFRON,source,BEFFRON
stop_point,AMI:SP:BERCH1,amiens_rt,65
stop_point,AMI:SP:BERCH1,source,BERCH1
stop_point,AMI:SP:BERCH2,amiens_rt,66
stop_point,AMI:SP:BERCH2,source,BERCH2
stop_point,AMI:SP:BERTAN,amiens_rt,69
stop_point,AMI:SP:BERTAN,source,BERTAN
stop_point,AMI:SP:BERTR1,amiens_rt,70
stop_point,AMI:SP:BERTR1,source,BERTR1
stop_point,AMI:SP:BERTR2,amiens_rt,71
stop_point,AMI:SP:BERTR2,source,BERTR2
stop_point,AMI:SP:BLANG1,amiens_rt,74
stop_point,AMI:SP:BLANG1,source,BLANG1
stop_point,AMI:SP:BLANG2,amiens_rt,75
stop_point,AMI:SP:BLANG2,source,BLANG2
stop_point,AMI:SP:BLSNC1,amiens_rt,76
stop_point,AMI:SP:BLSNC1,source,BLSNC1
stop_point,AMI:SP:BLSNC2,amiens_rt,77
stop_point,AMI:SP:BLSNC2,source,BLSNC2
