trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,cars_allowed
15-L-1-6-073701,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-075501,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-2-6-085000,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-090001,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-1-6-095500,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-095901,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-2-6-105600,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-105901,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-1-6-115600,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-115900,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-2-6-125600,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-125900,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-1-6-135700,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-135900,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-2-6-145700,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-150001,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-2-6-155800,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-1-6-160100,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-170100,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-170200,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-2-6-180200,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-1-6-180600,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-190600,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-190800,L,15_DIMANCHE,C. CIAL. NORD,,1,,,,,
15-L-1-6-200700,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-2-6-200800,L,15_DIMANCHE,POLE ECHANGES NORD,,1,,,,,
15-L-2-6-210600,L,15_DIMANCHE,CHU A. PICARDIE,,0,,,,,
15-L-1-6-210801,L,15_DIMANCHE,POLE ECHANGES NORD,,1,,,,,
