stop_id,stop_code,stop_name,stop_lat,stop_lon,wheelchair_boarding
2046,2046,Calmette,49.913605,2.313565,0
67,67,Cambrésis,49.91259,2.310437,0
68,68,Cambrésis,49.912582,2.310298,0
100,100,Camping,49.920792,2.259913,0
101,101,Camping,49.920704,2.259789,0
102,102,Campus Quai C,49.873775,2.264625,0
104,104,Campus Quai B,49.874485,2.264652,0
105,105,Campus Quai A,49.874504,2.264666,0
109,109,Carmel,49.866001,2.308392,0
110,110,Carmel,49.865704,2.308517,0
992,992,Caserne Dejean,49.888718,2.311589,0
993,993,Caserne Dejean,49.888798,2.311422,0
114,114,Cateuse,49.882858,2.246493,0
115,115,Cateuse,49.882912,2.24634,0
117,117,Clos de l'Avre,49.889294,2.325694,0
118,118,Clos de l'Avre,49.889275,2.325889,0
994,994,C. Cial Glisy,49.865036,2.378816,0
995,995,C. Cial Glisy,49.865017,2.3789,0
122,122,C. Cial Nord A,49.922646,2.302616,0
935,935,C. Cial Nord B,49.922474,2.302908,0
996,996,C. Cial Nord D,49.919933,2.304162,0
997,997,C. Cial Nord C,49.9202,2.303438,0
998,998,C. Cial Sud,49.861771,2.276046,0
126,126,C. Cial Sud,49.862309,2.276392,0
127,127,Eglise de Camon,49.887337,2.3464,0
129,129,Robert Le Coq,49.899925,2.268341,0
130,130,Robert Le Coq,49.900005,2.268271,0
133,133,Collège E.Lucas,49.898678,2.269538,0
999,999,Collège R.Parks,49.917187,2.25159,0
1000,1000,Collège R.Parks,49.917114,2.251368,0
137,137,Iream,49.870655,2.33288,0
138,138,Iream,49.870689,2.332616,0
139,139,Ch. Agriculture,49.871002,2.305013,0
140,140,Ch. Agriculture,49.870956,2.304791,0
141,141,Champ à Oisons,49.901222,2.219396,0
2051,2051,Chapitre,49.892494,2.259178,0
2052,2052,Chapitre,49.893379,2.258357,0
1001,1001,Cité-Providence,49.878441,2.296644,0
1002,1002,Cité-Providence,49.87854,2.296658,0
80,80,Cité-Providence,49.879456,2.295588,0
81,81,Cité-Providence,49.879204,2.297838,0
1003,1003,Chardin,49.911655,2.300024,0
1004,1004,Chardin,49.911655,2.299927,0
148,148,Château,49.878815,2.24279,0
149,149,Château,49.879696,2.242539,0
150,150,La Chaussée,49.815884,2.320063,0
152,152,Chev. Labarre,49.885693,2.347456,0
1006,1006,Zoo d'Amiens,49.900623,2.282226,0
1007,1007,Zoo d'Amiens,49.900837,2.281864,0
155,155,Chau. de Paris,49.842197,2.312126,0
158,158,Ch.  la Vallée,49.837513,2.309255,0
159,159,Ch.  la Vallée,49.837574,2.309699,0
41,41,Ctd François 1e,49.904308,2.300877,0
1008,1008,Ctd François 1e,49.904434,2.300988,0
160,160,Rollin,49.876598,2.313082,0
161,161,Rollin,49.87674,2.31304,0
1009,1009,Ctd Montrescu B,49.901031,2.29892,0
1157,1157,Ctd Montrescu C,49.901554,2.300004,0
1010,1010,Ctd Montrescu A,49.900566,2.298503,0
106,106,Charassain,49.875473,2.300662,0
107,107,Charassain,49.87558,2.300662,0
1011,1011,Cir. J.Verne D,49.888023,2.296942,0
1124,1124,Cir. J. Verne C,49.887959,2.29722,0
1012,1012,Cir. J. Verne B,49.888649,2.29779,0
1121,1121,Cir. J. Verne A,49.888874,2.296219,0
172,172,Krüger,49.902981,2.294901,0
174,174,Cim. Saint-Jean,49.886959,2.2679,0
175,175,Cim. Saint-Jean,49.887238,2.268469,0
176,176,Col. JM Laurent,49.87093,2.311792,0
177,177,Col. JM Laurent,49.870869,2.312306,0
178,178,Collège J.Curie,49.873283,2.356706,0
179,179,Collège J.Curie,49.873043,2.356928,0
180,180,Collège J.Verne,49.905239,2.326552,0
181,181,Collège J.Verne,49.905293,2.325857,0
921,921,Clarins,49.864918,2.386622,0
922,922,Clarins,49.864998,2.3854,0
1014,1014,Clémenceau,49.907883,2.301931,0
1015,1015,Clémenceau,49.907192,2.301821,0
186,186,Clos Saint-Jean,49.885132,2.25919,0
187,187,Clos Saint-Jean,49.885067,2.259162,0
188,188,Cim. Madeleine,49.912498,2.282394,0
189,189,Cim. Madeleine,49.912922,2.281921,0
1016,1016,Coll. St-Martin,49.88409,2.294778,0
1017,1017,Coll. St-Martin,49.884205,2.29493,0
1018,1018,Capitaine Nemo,49.863834,2.379218,0
1019,1019,Capitaine Nemo,49.863922,2.379135,0
196,196,Coisy,49.94746,2.316387,0
197,197,Coisy,49.94696,2.315831,0
776,776,COLAS,49.94313,2.278827,0
777,777,COLAS,49.942863,2.279008,0
1125,1125,Colbert,49.894352,2.278272,0
1126,1126,Colbert,49.894444,2.278022,0
1020,1020,Colvert,49.911636,2.308672,0
1021,1021,Colvert,49.911682,2.308074,0
895,895,Condorcet,49.876007,2.324863,0
896,896,Condorcet,49.875942,2.324461,0
202,202,Conty,49.856827,2.240123,0
203,203,Conty,49.856232,2.239597,0
204,204,Corbie,49.848057,2.398159,0
205,205,Corbie,49.848282,2.398618,0
1022,1022,Les coursives,49.91394,2.254835,0
1023,1023,Les Coursives,49.914021,2.254988,0
1205,1205,Cozette,49.886288,2.293261,0
208,208,Cim. de Rivery,49.90163,2.329264,0
209,209,Cim. de Rivery,49.901676,2.328513,0
1024,1024,Croix de Fer,49.86792,2.370081,0
1025,1025,Croix de Fer,49.868004,2.370526,0
2091,2091,Croix de Pierre,49.939129,2.26602,0
2092,2092,Croix de Pierre,49.939049,2.265714,0
213,213,C. de la Salle,49.885357,2.30367,0
214,214,C. de la Salle,49.886253,2.303614,0
215,215,Cité Castors,49.873493,2.325309,0
216,216,Cité Castors,49.873276,2.324767,0
217,217,Cité du Château,49.874981,2.348593,0
1185,1185,Cité du Château,49.875565,2.347857,0
219,219,Charles Tellier,49.90242,2.284712,0
220,220,Charles Tellier,49.90242,2.28481,0
221,221,Cité Petit,49.879913,2.275662,0
222,222,Cité Petit,49.879833,2.275635,0
223,223,Centre de Tri,49.890388,2.32158,0
